id_master,c1,c2,stim,obs,obsc1,obsc2,stimlen,c1len,c2len,nparses,correctParse,ratingcmp,ratingC1,ratingC2,isPlural,nc1_cmp,nc2_cmp,nc1_cmpnoplural,nc2_cmpnoplural,sentiment_stim,sentiment_c1,sentiment_c2,sentimentprobpos_stim,sentimentprobpos_c1,sentimentprobpos_c2,sentimentprobneg_stim,sentimentprobneg_c1,sentimentprobneg_c2,sentimentratioposneg_stim,sentimentratioposneg_c1,sentimentratioposneg_c2,profanity_stim,profanity_c1,profanity_c2,isCommonstim,isCommonC1,isCommonC2,bg_boundary,bgJonesMewhort,bgSUBTLEX,bgFacebook,inSUBTLEX,inBLP,inELP,inJuhaszLaiWoodcock,c1_inELP,c1_inBrysbaert,c1_inWordnet,c1_inMMA,c2_inELP,c2_inBrysbaert,c2_inWordnet,c2_inMMA,LSAc1c2,LSAc1stim,LSAc2stim,stim_SLlg10wf,BLPbncfrequency,BLPbncfrequencymillion,BLPrt,elp_ld_rt,elp_naming_mean_rt,c1c2_snautCos,c1stim_snautCos,c2stim_snautCos,fbusfreq,fbukfreq,valence_stim,valence_c1,valence_c2,concreteness_stim,concreteness_c1,concreteness_c2,Juhasz_tran,st_c1_mean,st_c2_mean,Zipfvalue,c1_SLlg10wf,c2_SLlg10wf,c1_BLPbncfrequency,c1_BLPbncfrequencymillion,c2_BLPbncfrequency,c2_BLPbncfrequencymillion
3237,gad,about,gadabout,1,4,3,8,3,5,1,yes,24.25,36.541668,44.541668,0,3,9,2,9,Positive,Positive,Positive,.39635709,.39635709,.39635709,.35563472,.35563472,.35563472,1.1145061,1.1145061,1.1145061,False,False,False,1,1,1,da,11.6,291867,9356116,1,0,0,0,0,0,1,1,1,0,0,1,,,,.47710001,,,,,,.93886399,.81785202,.73875302,,,,5.3299999,,2.69,2.69,1.77,,,,1.768955396864122,1.4313999,5.2677002,28,.28,197116,1971.16
4592,knock,about,knockabout,1,3,4,10,5,5,1,yes,41.46154,52.76923,38.96154,0,5,9,5,9,Positive,Neutral,Positive,.39635709,.34690237,.39635709,.35563472,.2986674,.35563472,1.1145061,1.3270853,1.1145061,False,False,False,1,1,1,ka,9.210000000000001,116728,202394,1,0,0,0,1,0,1,1,1,0,0,1,.36,,,.301,,,,,,.68980801,.80821401,.808743,,,,5.29,,2.76,4.24,1.77,,,,1.592864137808441,3.5185001,5.2677002,1975,19.75,197116,1971.16
8231,turn,about,turnabout,1,19,7,9,4,5,1,yes,72.551727,82.413795,54.862068,0,27,9,16,9,Positive,Negative,Positive,.39635709,.14756404,.39635709,.35563472,.50388211,.35563472,1.1145061,.78660679,1.1145061,False,False,False,1,1,1,na,12,333017,3341887,1,0,1,0,1,0,1,1,1,0,0,1,.41,.01,.04,1.0414,,,,778.46,722.69,.73457199,.837919,.79365301,64.90000000000001,11.9,,5.3499999,,2.79,3.44,1.77,,4.4520001,2.813,2.333226827302685,4.1939998,5.2677002,21026,210.25999,197116,1971.16
6139,race,about,raceabout,1,4,1,9,4,5,1,yes,44.16,73.959999,40.200001,0,11,9,7,9,Positive,Neutral,Positive,.39635709,.29472607,.39635709,.35563472,.3048726,.35563472,1.1145061,1.3000745,1.1145061,False,False,False,0,1,1,ea,12.8,1275983,22413428,0,0,0,0,1,1,1,1,1,0,0,1,.18,,,,,,,,,.81435502,,,,,,5.5900002,,,3.59,1.77,,,,,3.4993999,5.2677002,7959,79.589996,197116,1971.16
8331,walk,about,walkabout,1,2,5,9,4,5,1,yes,68.28125,87.90625,56.875,0,10,9,5,9,Positive,Positive,Positive,.39635709,.48018137,.39635709,.35563472,.21040261,.35563472,1.1145061,1.8838031,1.1145061,False,False,False,1,1,1,ka,9.210000000000001,116728,202394,1,0,1,0,1,0,1,1,1,0,0,1,.4,.15,.07,.95420003,,,,823.17,633.10999,.673163,.76722598,.93991703,135.2,1158.1,,6.8499999,,3.27,4.07,1.77,,4.5939999,2.733,2.246076651583785,4.0418,5.2677002,10441,104.41,197116,1971.16
6416,run,about,runabout,1,3,9,8,3,5,1,yes,69.689651,79.035713,61.392857,0,10,9,5,9,Positive,Positive,Positive,.39635709,.46876383,.39635709,.35563472,.35267526,.35563472,1.1145061,1.1238585,1.1145061,False,False,False,1,1,1,na,12,333017,3341887,1,0,1,0,1,0,1,1,1,0,0,1,.32,,,.60210001,,,,842.5599999999999,692.31,.652614,.866566,.85104102,6.4,214,,6.5,,2.48,4.31,1.77,,4.125,3.267,1.893894133472422,4.2522998,5.2677002,22125,221.25,197116,1971.16
6384,round,about,roundabout,1,4,2,10,5,5,1,yes,63.1875,75.375,41.65625,0,9,9,5,9,Positive,Positive,Positive,.39635709,.52765048,.39635709,.35563472,.23474066,.35563472,1.1145061,1.6884893,1.1145061,False,False,False,1,1,1,da,11.6,291867,9356116,1,0,1,0,1,1,1,1,1,0,0,1,.36,.35,.24,1.3617001,,,,969.63,744.34998,.79984403,.77652901,.97900999,222.9,8282.4,5.0500002,6.0599999,,3.86,3.9,1.77,,4.8130002,3.0309999,2.653561978162053,3.5307,5.2677002,32044,320.44,197116,1971.16
6393,roust,about,roustabout,1,2,10,10,5,5,1,yes,28.571428,48.17857,47.392857,0,2,9,1,9,Positive,Positive,Positive,.39635709,.39635709,.39635709,.35563472,.35563472,.35563472,1.1145061,1.1145061,1.1145061,False,False,False,1,0,1,ta,12.5,615918,8951365,1,0,0,0,0,0,0,1,1,0,0,1,,,,.47710001,,,,,,.76517099,.74870902,.76138502,,,,,,3,3.19,1.77,,,,1.768955396864122,1.3424,5.2677002,,,197116,1971.16
4723,lay,about,layabout,1,1,8,8,3,5,1,yes,49.692307,52.076923,43.884617,0,8,9,6,9,Positive,Positive,Positive,.39635709,.37228227,.39635709,.35563472,.34371009,.35563472,1.1145061,1.1531727,1.1145061,False,False,False,1,1,1,ya,9.16,21801,187745,1,0,0,0,1,0,1,1,1,0,0,1,.31,,,.699,,,,,,.72913498,,,,,,6.3499999,,,3.86,1.77,,,,1.990804146480479,3.4728999,5.2677002,10162,101.62,197116,1971.16
8332,walk,abouts,walkabouts,1,6,1,10,4,6,1,yes,59.285713,83.428574,58.32143,1,10,6,5,0,Positive,Positive,Positive,.39635709,.48018137,.39635709,.35563472,.21040261,.35563472,1.1145061,1.8838031,1.1145061,False,False,False,0,1,0,ka,9.210000000000001,116728,202394,1,0,0,0,1,0,1,1,0,0,0,1,.01,,,.90310001,,,,,,,,,,,,6.8499999,,,4.07,,,,,2.194924129136403,4.0418,.95420003,10441,104.41,,
